specimen,cervical,thoracic,lumbar,total
agamidae_agama_atra_uf180711,5,9,7,21
agamidae_draco_blanfordi_uf61535,4,10,8,22
agamidae_leiolepis_belliana_ncsm79583,5,5,12,22
agamidae_uromastyx_uf84845,5,5,12,22
amphisbaenidae_bipes_biporus_uf42060,3,6,116,125
amphisbaenidae_diplometopon_zarudnyi_uf68567,5,4,72,81
anguidae_celestus_hylaius_uf-75794,5,8,21,34
anguidae_elgaria_kingi_uf74645,5,10,15,30
anguidae_pseudopus_apodus_ku87837,1,3,52,56
anolidae_anolis_carolinensis_uf102367,5,5,11,21
boiidae_eryx conicus uf-herp-66735,0,1,0,1
carphodactylidae_phyllurus_platurus_uf126970,5,5,13,23
chamaeleonidae_chamaeleo_calyptratus_uf-191369,5,8,7,20
cordylidae_cham-aenea,5,11,25,41
cordylidae_chamaesaura_macrolepis_amnh,5,13,17,35
cordylidae_chamaesaura_oligo,5,9,21,35
cordylidae_chamaesaura_tenuior,4,6,25,35
cordylidae_cordylus_cordylus,5,9,9,23
cordylidae_cordylus_cultratus,1,0,0,1
cordylidae_cordylus_jonesi_mcz,5,9,10,24
cordylidae_cordylus_namakuiyus,5,10,8,23
cordylidae_hemicordylus_capensis_hc,5,9,9,23
cordylidae_karusaurus_jordani,4,8,11,23
cordylidae_namazonurus_campbelli,5,9,10,24
cordylidae_ninurta_coerleo_ni,5,9,9,23
cordylidae_ouroborus_cataphractus_amnh,5,6,10,21
cordylidae_ouroborus_cataphractus_cas2068412,5,9,7,21
cordylidae_ouroborus_cataphractus_mcz,5,7,9,21
cordylidae_ouroborus_cataphractus_uf191433,5,9,7,21
cordylidae_ouroborus_ypm,5,9,7,21
cordylidae_platysaurus_capensis_cas203515,5,9,10,24
cordylidae_platysaurus_guttatus_uf87100,5,9,10,24
cordylidae_platysaurus_lebomboensis_cas,5,5,14,24
cordylidae_pseudocordylus_langi_ps-langi,5,14,4,23
cordylidae_pseudocordylus_microlepidotus-uf87641,5,9,10,24
cordylidae_smaug_giganteus_uf119459_sg,5,9,9,23
cordylidae_smaug_swazicus_sswazicus,5,8,11,24
cordylidae_smaug_vandami_sv,5,9,10,24
corytophanidae_basiliscus_vittatus_uf16636,2,10,10,22
crotaphytidae_crotaphytus_collaris_uf29333,5,5,12,22
dibamidae_dibamus_novaeguineae_uf-h-33488,5,43,80,128
eublepharidae_eublepharis_macularius_uf78934,5,5,14,24
gekkonidae_gekko_gecko_uf-83669,5,8,11,24
gekkota_hoplodactylus_cm51270,5,7,12,24
gekkota_tarentola_americana_uf160807,5,5,15,25
gerrhosauridae_broadleysaurus_major_mcz141077_vert,5,9,12,26
gerrhosauridae_cordylosaurus_subtessellatus_mcz19331,5,7,14,26
gerrhosauridae_gerrhosaurus_flavigularis,5,9,12,26
gerrhosauridae_gerrhosaurus_skoogi_cas,5,7,12,24
gerrhosauridae_matobosaurus_maltzahni_mcz185081,5,9,10,24
gerrhosauridae_tetradactylus_africanus,5,11,19,35
gerrhosauridae_tetradactylus_tetradactylus_ummz,5,7,17,29
gerrhosauridae_zonosaurus_haraldmeieri_uf,4,14,8,26
gymnopthalmidae_alopoglossus_buckleyi_amnh113763,5,5,14,24
gymnopthalmidae_oreosaurus_luctuosus_uf90825,5,5,13,23
gymopthalmidae_bachia_bresslaui_uf69434,5,21,17,43
helodermidae_heloderma_horridum_uf153328,5,5,22,32
homalopsidae_homalopsis_buccata_uf61845,0,1,0,1
hoplocercidae_enyaloides_oshaughnessyi_uf191439,5,6,11,22
iguanidae_iguana_iguana_uf181922,5,9,7,21
lacertidae_gallotia_galloiti_uf89367,5,5,13,23
lacertidae_lacerta_agilis_uf-91747,5,9,11,25
lacertidae_takydromus_smaragdinus_uf-herp-130140,5,7,12,24
lanthanotidae_lanthanotus_borneensis_uf16268,5,11,18,34
leiocephalidae_leiocephalus_uf188922,5,5,9,19
leiosauridae_leiosaurus_belli_fmnh6537,5,5,12,22
phrynosomatidae_phrynosoma_cornutum_uf124940,2,2,10,14
phrynosomatidae_sceloporus_uf51331,5,5,10,20
polycrotidae_polychrous_mamoratus_uf,5,9,11,25
pygopodidae_lialis_burtonis_uf43419,5,10,36,51
rhineuridae_rhineura_floridana_uf-80435,5,30,85,120
schinisauridae_shinosaurus_crocodilurus_uf45615,5,5,14,24
scincidae_acontias_meleagris,5,23,39,67
scincidae_ateuchosaurus_pellopleurus,5,11,11,27
scincidae_carlia_rhomboidalis_uf10936,5,8,12,25
scincidae_chalcides_guentheri_uf14800,5,5,51,61
scincidae_corucia_zebrata,5,11,9,25
scincidae_egernia_hosmeri,5,9,10,24
scincidae_eremiascincus_richardsonii,5,9,10,24
scincidae_lipinia_pulchella,5,9,10,24
scincidae_mochlus_fernandi_uf27596,5,9,14,28
scincidae_scincus_scincus,5,11,9,25
scincidae_tiliqua_rugosa_uf87304,5,14,14,33
scincidae_tribolonotus_novaeguineae,5,9,10,24
scincidae_voeltzkowia_mira_mcz17638,5,11,29,45
sphaerodactylidae_aristelliger_lar_uf186878,5,5,13,23
sphenodontidae_sphenodon_punctatus_flmnh,5,10,8,23
teiidae_callopistes_flavipunctatus_ummz118093,4,11,8,23
teiidae_crocodilurus_amazonicus_ku127240,4,9,10,23
teiidae_dracaena_guianensis_uf129938,4,10,9,23
teiidae_tupinambis_tex_lsumz47686,5,5,13,23
tropiduridae_tropidurus_torquatus_uf60944,5,5,12,22
typhlopidae_aniolios_erycinus_uf113561,0,1,0,1
varanidae_varanus-prasinus-uf71411,5,9,12,26
varanidae_varanus_komodoensis_tnhc113000,5,5,17,27
xantusiidae_cricosaura_typica,5,11,8,24
xantusiidae_lepidophyma_obscura,5,9,9,23
xenosauridae_xenosaurus_platyceps_uf104135,5,5,19,29
TOTAL,452,838,1567,2857
